Application Name,Dataset Name,Data Class,Fields,Access Type,Function Role,Purpose of Access,Access Token,Expiry Date,DPO,CISO,CDO,CDOUSER,CISOUSER,DPOUSER
TrustAssure,User Profiles,PII - High,"{FullName,DOB, Gender,Email, Phone Number, PAN Card Number, Aadhar Number,Passport Number,Address}",Owner,Originator,"Verification, Customer onboarding, Audit Trail,  Learning and Auditing, Record Keeping, Legal Compliance, Security Alert, User Authentication",eyBillPol.eyJSb2RestrictedlIjoiQ29uc3VtZRestrictedIiLCJleHAiOjE3NDQzNjEyMDB9.Oa4gUS4Ghw8A1IZRestrictedwIk,15-04-2026 05:35,Approved,Pending For Approval,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
KYC Submission,User Profile,PII - High,"{Name,DOB, Gender,Address, Phone Number, PAN Card Number, Aadhar Number,Passport Number}",Owner,Originator,"Customer Onboarding & Verification,Marketing Communictaion,Business Analytics,Product Recommendation,
Learning & Training,Audit,Record Keeping,Legal Hold",eyJhbGciOiJIUzI1NiJ9.eyJSb2RestrictedlIjoiQWRtaW4iLCJJc3N1ZRestrictedIiOiJPd25lciIsIlVzZRestrictedJuYW1lIjoiVRestrictedNlciBQcm9maWRestrictedlIiwiZRestrictedhwIjoRestrictedNzQ0MzYRestrictedMDkzLCJpYRestrictedQiOjE3NDQzNjEwOTN9.b7f7-RmrlKKPvbFz9C0gUTkhOa4gUS4Ghw8A1IZRestrictedwIk,05-04-2026 05:26,Approved,Approved,Approved,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Insurance Claim,User Profile,PII - High,"{Name, Address, Phone Number, PAN Card Number, Aadhar Number}",Data Consumer,Processor,"Claim Processing,Marketing Communictaion,Business Analytics,Product Recommendation, Learning & Training, Audit, Record Keeping,Legal Hold",eyJhbGciOiJIUzI1NiJ9.eyJSb2RestrictedlIjoiVRestrictedNlciIsIklzc3VlciI6IkRhdGEgQ29uc3VtZRestrictedIiLCJVc2VybmFtZSI6IlVzZRestrictedIgUHJvZmlsZSIsImV4cCI6MTc0NDM2MTA5MywiaWF0IjoRestrictedNzQ0MzYRestrictedMDkzfQ.88CsAMAGD64mwSvhgj1mVtq5wMLEYHzC6lAHAV8e_tY,10-04-2026 09:19,Approved,Approved,Approved,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Underwriting,User Profile,PII - High,"{Name, DOB, Gender, PAN Card Number, Aadhar Number}",Data Consumer,Evaluator,"Risk Assessment,Marketing Communictaion,Business Analytics,Product Recommendation,Learning & Training, Audit, Record Keeping,Legal Hold",eyJhbGciOiJIUzI1NiJ9.eyJSb2RestrictedlIjoiVW5kZRestrictedJ3cml0aW5nQWdlbnQiLCJJc3N1ZRestrictedIiOiJVc2VybWFuYWdlciIsIlVzZRestrictedJuYW1lIjoiVW5kZRestrictedJ3cml0aW5nIFVzZRestrictedIiLCJleHAiOjE3NDQzNjERestrictedMDB9.rzcsRestricted8K4gE9UvuUnzT-8qNGgP5kF5lm8bHHy8FTFlGk,09-04-2026 13:49,Approved,Approved,Approved,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Customer Service,User Profile,PII - Medium,"{Name, Phone Number, Email, Address}",Data Consumer,Support,"Customer Query Resolution, Marketing Communictaion,
Business Analytics, Product Recommendation
Learning & Training, Audit, Record Keeping,Legal Hold",eyJhbGciOiJIUzI1NiJ9.eyJSb2RestrictedlIjoiQ3VzdFNlcnZpY2VFZ2VudCIsIklzc3VlciI6IlVzZRestrictedJBZG1pbiIsIlVzZRestrictedJuYW1lIjoiQ3VzdG9tZRestrictedIgQ2FyZSIsImV4cCI6MTc0NDM2MTERestrictedMCwiaWF0IjoRestrictedNzQ0MzYRestrictedMTEwfQ.yh9lRsP0IrsbAVPkCW7Ey_VQ_qPA-dnmBsoZq1kZ9E8,08-04-2026 02:50,Approved,Approved,Approved,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Fraud Investigation,User Profile,PII - High,"{Name, Address, PAN Card Number, Aadhar Number}",Data Consumer,Investigator,"Anomaly Detection,Marketing Communictaio,Business Analytics,Product Recommendation, Learning & Training, Audit, Record Keeping, Legal Hold",eyFraud.eyJSb2RestrictedlIjoiRnJhdWRDb25zdW1lciIsIlVzZRestrictedIiOiJGb3Jlc2ljaCIsImV4cCI6MTc0NDM2MTE2MH0.Y7nIArfz7p5QerUeF78kRestricted,02-04-2026 21:43,Approved,Approved,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Claims Management,Claim History,Sensitive - Health,"{Claim ID, Diagnosis, Hospital Name, Bills}",Owner,Originator,"Claims Submission & Approval,Audit, Record Keeping, Legal Hold, 
Learning & Training",eyClaimOwn.eyJSb2RestrictedlIjoiQ2RestrictedhaW1Pc25yIiwiZRestrictedhwIjoRestrictedNzQ0MzYRestrictedMjAwfQ.Restrictedyz123abcDEF,05-04-2026 18:05,Approved,Approved,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Underwriting,Claim History,Sensitive - Health,"{Claim ID, Diagnosis}",Data Consumer,Evaluator,"Claim Underwriting Check, Learning & Training, Audit, 
Record Keeping, Legal Hold, Learning & Training",eyClaimUWR.eyJSb2RestrictedlIjoiQ29uc3VtZRestrictedIiLCJleHAiOjE3NDQzNjEyMDB9.ABC321defGHI,02-04-2026 09:48,Approved,Pending For Approval,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Underwriting,Risk Profile,Financial,"{Income, Credit Score, Employment Status}",Owner,Originator,"Risk Profiling, Audit, Record Keeping & Legal Hold, Learning & Training",eyRiskOwn.eyJSb2RestrictedlIjoiT3duZRestrictedIiLCJleHAiOjE3NDQzNjEyMDB9.UVW789ghIjk,05-04-2026 13:09,Approved,Approved,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Fraud Investigation,Risk Profile,Financial,"{Credit Score, Employment Status}",Data Consumer,Investigator,"Fraud Detection, Audit, Record Keeping,Legal Hold,Learning & Training",eyRiskFraud.eyJSb2RestrictedlIjoiQ29uc3VtZRestrictedIiLCJleHAiOjE3NDQzNjEyMDB9.GHI456klmNOP,10-04-2026 16:13,Approved,Approved,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
Billing & Payments,Payment Info,Financial - PII,"{Account Number, IFSC, UPI ID, PAN Card Number}",Owner,Originator,"Payment Management, Fraud Detection & Prevention, Policy Issuance & Personalization, Record Keeping, Legal Hold, 
Learning & Training",eyBillOwn.eyJSb2RestrictedlIjoiQmlsbGluZ0FkbWluIiwiZRestrictedhwIjoRestrictedNzQ0MzYRestrictedMjAwfQ.JKL098rstUVRestricted,08-04-2026 15:30,Pending For Approval,Pending For Approval,Pending For Approval,cdoOfficeUser,cisoOfficeUser_001,dpoOfficeUser_001
